Designator,Mid X,Mid Y,Layer,Rot
C1,168,-54.5625,top,90
C2,165.2125,-55.5,top,180
C3,170.7125,-55.5,top,0
C7,142.5,-63.5,top,0
C8,94.0625,-64.75,top,180
C9,97.7125,-64.75,top,180
C10,112.75,-64.75,top,180
C11,116.25,-64.75,top,0
C13,92.5,-70.75,top,270
C14,111.25,-70.75,top,270
C17,95.5,-74.25,top,180
C18,114.25,-74.25,top,0
C19,126.5,-73.5,top,0
C20,122.5,-77,top,180
C21,138,-79,top,90
C22,140,-79,top,90
C23,106.5,-79.5,top,180
C24,111.5,-80,top,180
C25,121.75,-80,top,180
C26,107.5,-82,top,180
C27,122.5,-82.5,top,0
C28,127,-82.5,top,180
C30,154.5,-87,top,90
C31,124.5,-87.5,top,90
C32,127.5,-88.2875,top,270
C33,151.75,-87.75,top,90
C34,145,-88.5,top,90
C35,146.75,-88.5,top,90
C36,91.5,-89.5,top,90
C37,95,-89.5,top,0
C38,98.5,-89.5,top,0
C39,161.5,-90,top,0
C40,75.5,-91,top,0
C41,112.5,-92,top,0
C43,145,-92.5,top,180
C44,165,-92.9625,top,90
C45,168,-93,top,270
C46,90,-93.5,top,180
C47,108.5,-94,top,180
C48,137.5,-94,top,90
C49,140.5,-93.5,top,90
C50,113.5,-94.5,top,0
C51,146.5,-95,top,180
C52,106.5,-96.5,top,180
C53,111,-97,top,180
C54,160.5,-96.5,top,270
C55,162.5,-96.5,top,270
C56,122.5,-97.75,top,180
C57,100,-99,top,180
C58,107.5,-99,top,180
C60,176,-100.5,top,270
C61,155,-102.25,top,90
C62,100.5,-103,top,90
C63,126.5,-103,top,0
C64,157.25,-103,top,270
C65,92.5,-103.5,top,0
C66,97,-103.5,top,0
C67,126,-106,top,180
C68,113,-109.5,top,0
C69,109,-111.5,top,180
C70,114,-112,top,0
C71,78.25,-123.75,top,90
C72,87.75,-125.75,top,90
C73,78.25,-127.3125,top,270
C74,134,-126.65,top,270
C75,137,-127.5,top,270
C76,84.25,-129,top,0
C81,141.25,-135.4625,top,90
C82,178.25,-135,top,180
C83,144.25,-136.25,top,270
C84,127.5,-137.2875,top,270
C85,78.5,-140.0375,top,270
C87,88,-142.2875,top,270
C88,135.5,-142.2125,top,270
C89,78.5,-143.75,top,270
C90,84.25,-145.25,top,0
C91,134,-147.75,top,270
C92,137.25,-148.5,top,270
C96,138.25,-155.25,top,90
C97,135.25,-156,top,270
D1,135,-35.5,top,270
D2,69.5,-76.5,top,0
D3,76.25,-76.5,top,0
D4,70,-95,top,0
D5,167.25,-130,top,0
D6,175,-144,top,180
D7,181.5,-144,top,180
FB1,136,-77.25,top,270
FB2,143,-88.75,top,90
Q1,70.5,-81,top,270
Q2,75.5,-81,top,270
Q3,70.5,-85.5,top,270
Q4,75.5,-85.5,top,180
Q5,70.5,-90.5,top,0
Q6,75.5,-94.5,top,0
Q7,174.25,-130.5,top,270
Q8,182.25,-130.5,top,270
Q9,174.25,-135,top,270
Q10,182.25,-135,top,270
Q11,174.25,-140,top,180
Q12,180.75,-140,top,180
R1,170.5,-53.5,top,0
R2,91.5,-55.4,top,90
R3,118,-55.4,top,90
R4,136.5,-55.9,top,90
R5,164,-57.735,top,270
R6,161.5,-65.985,top,270
R7,163,-65.985,top,270
R8,164.5,-65.985,top,270
R9,166,-66,top,270
R10,98.5,-71.765,top,270
R11,69,-73.515,top,270
R12,71.5,-73.5,top,90
R13,74,-73.5,top,270
R14,76.5,-73.5,top,90
R15,98.5,-74,top,270
R16,122,-74.5,top,180
R17,98.5,-76.265,top,270
R18,113.75,-76.5,top,90
R19,115.25,-76.5,top,270
R20,67.015,-79,top,0
R21,78.985,-79,top,180
R22,98.5,-78.5,top,270
R23,113.75,-78.75,top,90
R24,115.25,-78.75,top,270
R25,130,-78.5,top,270
R26,130,-80.5,top,270
R27,111.5,-82,top,0
R28,106,-86,top,0
R30,106,-88,top,0
R31,76.015,-89.25,top,0
R32,158.5,-88.5,top,180
R33,95,-91.5,top,180
R34,98.5,-91.5,top,180
R35,108.5,-92,top,0
R37,124.5,-94.5,top,270
R38,90,-96,top,0
R39,147.25,-96.5,top,180
R41,147.265,-97.5,top,180
R42,90,-98.5,top,0
R43,111,-99,top,0
R44,147.25,-98.5,top,180
R46,92.5,-101.5,top,180
R47,97,-101.5,top,180
R48,106,-102,top,0
R49,159.5,-102.25,top,270
R50,106,-104,top,0
R53,109,-109.5,top,0
R54,87.5,-122,top,180
R55,89.985,-122,top,180
R56,71.6,-122.5,top,180
R57,87.5,-123.5,top,0
R58,90,-123.5,top,0
R60,118.5,-131.5,top,270
R62,71.6,-137.5,top,180
R63,177.5,-138,top,180
R64,88,-138.5,top,0
R65,90.485,-138.5,top,0
R66,87.985,-140,top,180
R67,90.5,-140,top,180
R68,177.25,-140,top,90
R69,183.75,-140,top,90
R70,126.25,-143.5,top,90
R71,173.25,-146.5,top,180
R72,176.735,-146.5,top,0
R73,179.75,-146.5,top,180
R74,183.25,-146.5,top,0
U1,168.5,-60.5,top,270
U2,96,-69.75,top,90
U3,114.75,-69.75,top,90
U4,142.5,-69.5,top,270
U5,127,-78,top,90
U6,143.35,-79.5,top,90
U8,144.75,-85,top,0
U9,111,-87,top,90
U10,161.644999,-92.774999,top,180
U11,153.775001,-95.034999,top,90
U12,131,-96,top,180
U13,95,-96.5,top,90
U14,172,-97,top,90
U15,111,-104,top,90
U16,83,-125.25,top,180
U17,147.5,-128,top,0
U18,131.5,-140.5,top,270
U19,83.25,-141.75,top,180
U20,147.75,-149.5,top,0
